Basis;System;Distance;Alpha;P;Value
aug-cc-pVQZ;H;1.6;-0.8;0;0.000000743056
aug-cc-pVQZ;H;1.6;-0.9;0;0.000000863582
aug-cc-pVQZ;H;1.6;-1.0;0;0.000000950038
aug-cc-pVQZ;H;1.6;-1.1;0;0.000000995837
aug-cc-pVQZ;H;1.6;-1.2;0;0.000000999700
aug-cc-pVQZ;H;1.6;-1.3;0;0.000000965090
aug-cc-pVQZ;H;1.6;-1.4;0;0.000000898963
aug-cc-pVQZ;H;1.6;-1.5;0;0.000000810238
aug-cc-pVQZ;H;1.7;1.0;1;0.000000000821
aug-cc-pVQZ;H;1.7;0.9;1;0.000000001981
aug-cc-pVQZ;H;1.7;0.8;1;0.000000004697
aug-cc-pVQZ;H;1.7;0.7;1;0.000000007750
aug-cc-pVQZ;H;1.7;0.6;1;0.000000010329
aug-cc-pVQZ;H;1.7;0.5;1;0.000000012015
aug-cc-pVQZ;H;1.7;0.4;1;0.000000012705
aug-cc-pVQZ;H;1.7;0.3;1;0.000000012502
aug-cc-pVQZ;H;1.7;0.2;1;0.000000011620
